county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total,date,year,county_total,party_perc
Irwin County,GARY JOHNSON (LIB),26,3,29,0,58,"November 8, 2016",2016,3665,1.5825375170532059
Jackson County,DONALD J. TRUMP (REP),7758,620,13376,30,21784,"November 8, 2016",2016,27109,80.35707698550297
Jackson County,HILLARY CLINTON (DEM),1661,152,2656,22,4491,"November 8, 2016",2016,27109,16.566453945184257
Jackson County,GARY JOHNSON (LIB),402,27,405,0,834,"November 8, 2016",2016,27109,3.0764690693127745
Jasper County,DONALD J. TRUMP (REP),1678,210,2465,7,4360,"November 8, 2016",2016,6023,72.38917482981903
Jasper County,HILLARY CLINTON (DEM),554,162,828,0,1544,"November 8, 2016",2016,6023,25.635065581935912
Jasper County,GARY JOHNSON (LIB),59,8,52,0,119,"November 8, 2016",2016,6023,1.9757595882450605
Jeff Davis County,DONALD J. TRUMP (REP),1804,165,2133,2,4104,"November 8, 2016",2016,5091,80.61284619917501
Jeff Davis County,HILLARY CLINTON (DEM),478,37,386,0,901,"November 8, 2016",2016,5091,17.69789825181693
Jeff Davis County,GARY JOHNSON (LIB),48,5,33,0,86,"November 8, 2016",2016,5091,1.6892555490080534
Jefferson County,DONALD J. TRUMP (REP),1482,155,1422,4,3063,"November 8, 2016",2016,6954,44.04659188955996
Jefferson County,HILLARY CLINTON (DEM),2001,345,1465,10,3821,"November 8, 2016",2016,6954,54.946793212539546
Jefferson County,GARY JOHNSON (LIB),40,5,24,1,70,"November 8, 2016",2016,6954,1.006614897900489
Jenkins County,DONALD J. TRUMP (REP),728,95,1069,3,1895,"November 8, 2016",2016,3052,62.09043250327654
Jenkins County,HILLARY CLINTON (DEM),529,78,501,15,1123,"November 8, 2016",2016,3052,36.79554390563565
