,county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total,date,year
266,Liberty County,GARY JOHNSON (LIB),244,11,171,1,427,"November 8, 2016",2016
267,Lincoln County,DONALD J. TRUMP (REP),"1,083",142,"1,534",0,"2,759","November 8, 2016",2016
268,Lincoln County,HILLARY CLINTON (DEM),479,237,556,1,"1,273","November 8, 2016",2016
269,Lincoln County,GARY JOHNSON (LIB),33,4,33,0,70,"November 8, 2016",2016
270,Long County,DONALD J. TRUMP (REP),"1,337",41,"1,245",3,"2,626","November 8, 2016",2016
271,Long County,HILLARY CLINTON (DEM),637,53,666,4,"1,360","November 8, 2016",2016
272,Long County,GARY JOHNSON (LIB),74,2,54,1,131,"November 8, 2016",2016
273,Lowndes County,DONALD J. TRUMP (REP),"6,629",794,"14,006",206,"21,635","November 8, 2016",2016
274,Lowndes County,HILLARY CLINTON (DEM),"4,423",700,"9,644",297,"15,064","November 8, 2016",2016
275,Lowndes County,GARY JOHNSON (LIB),379,53,479,18,929,"November 8, 2016",2016
276,Lumpkin County,DONALD J. TRUMP (REP),"2,163",395,"7,056",5,"9,619","November 8, 2016",2016
277,Lumpkin County,HILLARY CLINTON (DEM),502,132,"1,584",2,"2,220","November 8, 2016",2016
278,Lumpkin County,GARY JOHNSON (LIB),185,18,292,0,495,"November 8, 2016",2016
